Gene.Name	Diff.exp	Exp.level	percent_detected	cell.type
CFD	1.939562536	7.815692869	0.552687534	macrophages
PLEKHO2	1.932384208	5.786719288	0.199690776	macrophages
IFI30	1.864219947	6.325932301	0.506963452	macrophages
CD86	1.847591237	6.217441314	0.238076468	macrophages
GNA15	1.844763942	5.339578189	0.180242663	macrophages
FCGRT	1.821580004	10.39878875	0.740309359	macrophages
LYVE1	1.764906036	5.995528102	0.385854208	macrophages
AP1S2	1.69033057	7.94888288	0.558280443	macrophages
CRYBB1	1.655757854	5.185138372	0.138430177	macrophages
LINC01094	1.621995286	5.120001423	0.22483254	macrophages
MARCO	1.543352233	8.494385636	0.659434471	macrophages
HCK	1.510984722	6.290465359	0.378828514	macrophages
LAIR1	1.5005589	6.424598798	0.361467756	macrophages
