Cell type	c01_Malignant	c02_Malignant	c03_Malignant	c04_Malignant	c05_Malignant	c06_Fibroblast	c07_Fibroblast	c08_Fibroblast	c09_Fibroblast	c_10Macrophage	c11_Macrophage	c12_Macrophage	c13_Macrophage	c14_DC	c15_DC	c16_B cells	c17_T cells	c18_Erythrocytes
PUSL1	0.685971053	2.107147643	1.668504356	1.488991635	0.802013521	1.296555055	0.33296295	0.609072424	0.99825597	0.233166499	0.066482508	0.233412751	0.117338388	0	0.182219127	0.753241733	0.475100559	1.665892351
CPSF3L	0.769222414	2.533576351	2.124432844	1.609410544	1.6527309	2.236580832	0.681345697	1.449574101	1.926486307	0.690776287	0.411969506	0.313670331	0.269880346	0.603833047	0.693196349	1.285184892	0.963815954	1.26369998
GLTPD1	0	1.907680776	1.567862576	0.911731819	0.937196007	1.102946725	0.548299697	0.508449888	0.647147032	0.203225806	0.140934272	0.225816659	0.09781895	0	0.126700825	0.742462439	0.153902482	0.206155199
DVL1	0.216469018	1.425098335	1.126193551	0.158199522	0.25882191	0.277279107	0	0.084172607	0.151662643	0.052226234	0.041450732	0.115778693	0.035417163	0	0	0.062249622	0.059566106	0
MXRA8	0	0.07073586	1.327441071	0.331480312	0.976447007	3.134069745	0.718373337	3.422399757	3.255612114	0.092324098	0.070034006	0	0.04831383	0	0	0.010557318	0	0
AURKAIP1	5.761932071	6.217000096	6.238048631	5.753143876	4.317575995	4.890586305	3.492498991	4.333365297	4.976315958	3.681989394	3.190308444	3.471406381	2.621536193	3.0405395	2.436655547	5.232186574	3.083169452	3.506714561
CCNL2	0.711763599	2.514873408	1.68086475	1.2133528	1.676568945	1.855829032	0.823412304	0.961692249	1.493984396	0.420871163	0.20439458	0.274828282	0.244754233	0.857591401	0.523226202	0.641726769	0.519673308	0.40717658
RP4-758J18.2	0.25135125	1.302148055	0.758711296	0.81077295	0.79352855	0.669238111	0.277839691	0.35541414	0.757034848	0.212999566	0.038245706	0.059984982	0.082257993	0.161583327	0.314107538	0.407245565	0.500080193	1.020922434
MRPL20	4.619817631	5.7565002	4.662115519	4.536168974	3.378680157	3.516376046	2.687755438	3.310898261	3.735319164	3.00412885	2.954955312	2.98893865	1.88633902	3.50070455	2.035409701	3.998132126	2.217599501	3.484241058
ANKRD65	0.279293173	0.975737274	0.557942455	1.714301695	0.533829873	0.15292634	0	0.070336259	0.171036289	0.028223766	0	0.022877042	0.002666482	0.167090997	0.058176999	0.011999688	0	0
VWA1	0.283685562	1.316288378	1.640572393	1.420312398	1.064861547	0.274762754	0	0.08348784	0.023267177	0.001570889	0.081163069	0	0	0	0	0.01959195	0	0
ATAD3B	0	1.112435057	0.512826397	0.235726716	0.448720564	0.649517534	0.516182219	0.206212609	0.499192671	0.292522693	0.097661995	0.14494812	0.050705848	0	0.301103858	0.465584854	0.15781263	0.73506166
ATAD3A	0	1.102236409	0.84256069	0.759993057	0.556744968	0.998468451	0.590779691	0.366816911	0.782714501	0.225109674	0.211099143	0.198881411	0.04614314	0	0	0.657518478	0.205108759	1.465881984
SSU72	4.717074853	5.758901426	4.582169645	5.40541059	4.389404954	3.885068991	3.087291373	3.293760477	3.904192372	2.637645542	1.913466961	2.15579414	1.567909371	2.867137673	2.410967738	2.902955618	2.260445181	2.766648174
C1orf233	0	1.288786	0.855280784	0	0.153535976	0.078979857	0	0.081451316	0.152315622	0.04118837	0	0.02998191	0.04786451	0	0	0.008608896	0.025930113	0
RP11-345P4.9	0.216469018	0.237643634	0.306604943	0.49413201	0.693048013	0.282530474	0	0.204725478	0.246438848	0.074310835	0	0.086213926	0.02813698	0	0.075703811	0.054587259	0.053388903	0
MIB2	0.539980614	1.447180739	1.118040074	0.734809699	0.935086502	1.055267751	0.208547023	0.563070297	0.69401179	0.150778245	0.219306469	0.169287957	0.110275175	0.364197755	0.107914372	0.789834351	1.305694207	0.360468586
MMP23B	1.533944764	2.42685615	2.131421004	0.675434528	0.726304028	1.611633215	1.050403137	2.039845948	1.770445423	0.026359295	0	0	0.011102251	0.398847745	0	0.053271614	0.185555429	0
CDK11B	0	0.894266182	0.345454092	0.169444451	0.303541139	0.197459826	0	0.082312595	0.230676302	0.072667319	0.213516129	0.113975748	0.032866625	0	0.296050904	0.229564279	0.107818332	0.386403516
SLC35E2B	0	0.680282589	0.134524809	0.068208254	0.290188694	0.209723094	0.097114847	0.100549833	0.201623594	0.065810433	0	0.027014242	0.040372801	0.23821825	0	0.126936394	0.160946532	0.144671578
CDK11A	0.215051343	0.992816398	0.538966705	0.497373998	0.560951828	0.452532236	0.271303371	0.265732512	0.529398867	0.215074697	0.358996931	0.262497253	0.106445015	0.162391734	0.468148428	0.42623261	0.283274019	0.934549772
NADK	0.758776913	0.969665241	0.831323484	0.522455831	0.518197944	0.522754978	0.064515834	0.196157671	0.357504043	0.417490898	0.363600773	0.366312996	0.372521498	0.678747439	0.550068565	0.564573402	0.125185592	0.099012204
GNB1	1.293940252	3.749626954	2.961209004	1.428028796	1.441867563	2.219497446	0.591598204	1.403516074	2.139672189	1.238583265	1.172181916	1.583390021	1.015819311	1.093399617	0.685972389	1.081979931	0.7453784	0.595400273
C1orf86	5.223876179	5.419346396	3.898940156	3.314111032	2.811665953	3.136071534	2.622969127	3.271567834	3.606066948	1.923979816	1.403287063	2.227671173	1.710734172	2.215107451	1.970822724	2.178248027	1.693515745	1.572965589
SKI	0	1.250102225	1.072042381	0.372574889	0.618414744	0.687513116	0.070947058	0.476821083	0.524243659	0.298327628	0.276825997	0.4318525	0.19631066	0	0	0.110527956	0.263409962	0
RER1	3.543792264	5.350980921	4.811563484	4.598717737	3.343203141	4.911792446	3.131836186	4.217278144	4.809170187	3.386668538	2.660750266	3.360247353	2.275946232	1.785150912	1.893068395	4.434309427	2.038866289	4.060632053
PEX10	0.682373744	1.809659315	1.09685481	1.523699834	0.954425491	0.892082605	0.304272175	0.524604337	1.008486654	0.321592098	0.166522018	0.108256696	0.143111473	0.228081252	0.060227883	0.241899832	0.100286927	0.371061011
PANK4	0.536633303	0.465517962	0.506273301	0.466942204	0.558013585	0.736837487	0	0.338948454	0.566318329	0.161779524	0.072294307	0.064042336	0.048350091	0	0.115995137	0.304325349	0.360439758	0.628872282
RP3-395M20.12	0.215051343	0.329831265	0.209391771	0.020881526	0.128096786	0.078368866	0	0.015899273	0.026913015	0.04499693	0.030821417	0	0.059600255	0	0	0.051465745	0.176141304	0.099012204
TNFRSF14	0.291986959	1.580516507	0.17409316	0.717749031	0.522109499	0.38515426	0.194371401	0.538132396	0.571276854	0.86035647	0.655283751	0.643067963	0.921714126	1.190059942	1.985176281	1.138716629	0.96908375	0.239745509
FAM213B	0.215051343	1.224055202	0.846437693	1.042557933	0.97181049	0.582829479	0.292952824	0.338438637	0.524515366	0.072385736	0	0.244777236	0.160877294	0	0.146598577	0.176187151	0.052481576	0.415375311
MMEL1	0.503680707	0.583154609	1.904369767	1.193204604	0.654468292	0.616372639	0.614164797	0.616296592	1.140665735	0.032887205	0.114657734	0	0.02075207	0	0	0.021978301	0.068419028	0
TPRG1L	0	1.305683385	0.657967966	0.40709238	0.556545021	0.43426463	0.175092751	0.231505875	0.37579292	0.147981538	0	0.1360863	0.135479182	0.191257793	0.189392364	0.109862802	0.109929733	0
WRAP73	0	1.478774938	0.62520575	0.766234109	0.982104505	0.92802092	0.246696402	0.450862989	0.629605721	0.334075782	0.184494872	0.186215455	0.129889857	0.731466746	0.440668665	0.503847562	0.308792599	0.251008509
SMIM1	0.223362448	1.22182717	2.564645967	0.79402476	0.524854978	0.706143991	0.097973826	0.389907534	0.48774699	0.035865629	0	0.059235349	0.035217934	0	0	0.325693163	0.021137364	3.393803869
LRRC47	0.339733658	1.171632551	1.317472384	0.992055111	1.139561647	1.197369255	0.507583189	0.549217542	0.969130723	0.277034314	0.2010754	0.317932713	0.134182035	0.596865015	0.231878491	0.673381174	0.473236063	1.110168215
CEP104	0.274786484	0.727859522	0.887411667	0.372796205	0.73611965	0.711176551	0.367525896	0.306548698	0.621399985	0.172828145	0.039474538	0.030408954	0.078536759	0.161583327	0.239483237	0.303798684	0.250484468	0.173693523
C1orf174	0.7820277	1.606713827	1.136229735	1.419559933	1.410627665	1.056308463	0.299691149	0.544852558	0.695283577	0.298224138	0.167932963	0.35240626	0.144624286	0.929815541	0.52050425	0.40011945	0.516290379	1.828584365
KCNAB2	0	0.184681939	0.222168112	0.189413097	0.110239502	0.133021153	0.172645179	0.245913	0.609991335	0.867007694	0.495161295	1.332729769	0.849858275	0.70515611	0	0.289887229	0.62951178	0.144663922
RPL22	4.863049798	4.710347414	4.976930532	3.141174671	3.46452529	3.806944086	3.540708863	3.428280013	5.334391143	4.558445654	1.742726792	1.473925779	1.117780705	4.272723744	3.215978466	2.19903747	3.665404077	4.307121637
RNF207	0	1.491367354	0.609057828	0.217691343	0.683860657	0.333517152	0.093255476	0.300313392	0.41207677	0.008292573	0	0.027475317	0.007537991	0.201283899	0.382105455	0.104010122	0.077995792	0
ICMT	0.223375963	2.084032596	1.637398113	1.796821593	1.070081235	1.14024332	0.391351416	0.632761916	1.240333399	0.293819992	0.070579551	0.347936888	0.166053156	0.230385411	0.323396239	0.444618157	0.37098988	0.835784007
ACOT7	0.583223952	1.104354586	0.79428704	1.24191574	1.35259594	1.674729691	1.136230352	0.475196335	1.113151493	0.240574936	0.246266457	0.437640908	0.090274262	0	0.611384097	0.301308307	1.006993978	1.244868084
TNFRSF25	0	0.459231085	0.146514616	0.025098776	0.14592509	0	0.093682523	0.010857493	0.086659908	0.0585703	0.03777742	0.032741374	0.004412738	0	0.245290379	0.042750979	0.142048781	0
NOL9	0	0.835512626	0.322892108	0.226211285	0.317291843	0.286039531	0.153407989	0.181470292	0.432607905	0.155203889	0.0629586	0.184918305	0.069094707	0	0	0.191979887	0.134612082	0.100201476
ZBTB48	0	0.59862627	0.321508171	0.799570404	0.634930851	0.304766798	0.092846309	0.185412004	0.291446372	0.290677807	0.102888475	0.242405696	0.08575799	0.189066936	0.128385754	0.230653177	0.212297475	1.07864945
KLHL21	0.290650589	0.621459945	0.228720788	0.172838466	0.37767072	0.269836769	0.150924401	0.104101918	0.149876618	0.039984802	0.058448185	0.078419021	0.064873612	0.357883327	0.062607066	0.081425631	0.025246448	0
PHF13	0	0.447617027	0.293602665	0.202845715	0.207610637	0.177431671	0	0.167586381	0.196508224	0.035398698	0.032265731	0.026924375	0.048085662	0	0.160672664	0.01101311	0.024376215	0
THAP3	0	0.758681634	0.36620886	0.758434747	0.75669848	0.730611933	0.093682523	0.517466081	0.926473379	0.232841781	0.244429942	0.219129322	0.12398959	0.386012273	0.561554708	0.527962017	0.351627145	0.280994801
DNAJC11	0.208082893	1.353273066	0.971891928	0.977021199	0.776883171	0.611639954	0.553147972	0.266246356	0.545420629	0.214245778	0.066006782	0.113105395	0.062980627	0	0.062101428	0.348884413	0.244798093	0.395672431
CAMTA1	4.079067824	4.502255426	4.74698607	4.113076139	3.234621987	3.180843727	2.340216344	3.113974773	3.171459756	1.914589374	1.936914997	1.474283113	1.518998858	2.524299599	2.054469708	1.777275868	0.988068509	2.211803374
VAMP3	1.261357821	2.403244009	1.705816082	1.491707878	1.678235294	2.181619876	2.114317424	1.352451102	1.728339341	0.879297625	0.438036814	1.081764192	0.811020055	0.209288861	0.460173503	0.378809696	0.341922064	0.761113473
PER3	0	0.293854161	0.325445509	0.107469203	0.219871354	0.056148393	0	0.111744502	0.061388677	0.027101115	0	0	0.050021481	0	0	0.023765177	0.025930113	0
UTS2	0	0.012792863	0	0.176013325	0	0	0	0.141840512	0.029074988	0.133432011	0.03272781	0.252632578	0.522154277	0	0	0	0	0.107142995
TNFRSF9	0	0.01454781	0.022389765	0.059333565	0.098095138	0.388766471	0.096757388	1.056456361	1.197527681	0.013288363	0	0.053207433	0.012738065	0.170456944	1.453430013	0.013182178	0.059769582	0
PARK7	6.683873746	6.459739027	5.99442665	6.325969455	5.211108345	6.253348179	6.65967054	6.370578298	6.500282153	5.466303586	4.750604569	5.21050131	4.07551553	5.83778613	5.664577084	5.68415987	4.87382983	5.680933762
ERRFI1	0	1.470951052	1.436748785	1.542831371	1.55487119	3.199924929	1.109005405	2.548825886	2.711111483	0.100686165	0.029820313	0.031267285	0.070591032	0	0.065263957	0.021705601	0.099631661	0
RERE	0.273300942	1.616303139	1.174860162	0.560725217	0.968557097	0.647524333	0.174018175	0.3559436	0.441359531	0.278327466	0.066308865	0.280877572	0.205745412	0.182198014	0.242183316	0.332056553	0.173290135	0.213858551
ENO1	7.830657212	7.254213865	6.461592803	7.255571947	6.251970347	7.245684308	7.349768787	6.538297473	7.384773983	6.458094291	6.233920448	6.020423105	4.571824211	5.422440031	5.589225171	5.392917699	4.627776644	5.08997182
SLC2A5	0	0.032063077	0.030169449	0.139099094	0.01003287	0.148748179	0	0.346778589	0.369389641	0.690547444	0.378340392	0.805370368	1.201146987	0	0	1.348205516	0	0
GPR157	0.215051343	0.238058897	0.240885003	0.083351065	0.094285796	0.017808586	0	0.023159928	0.022381595	0.024911049	0	0	0.011850362	0	0.787188421	0.01077165	0	0
RP3-510D11.2	0	0.136588792	0.076340677	0.021740354	0.004504737	0.168705436	0.222332737	0.269926083	0.080445472	0.004097743	0	0	0.037110637	0	0	0	0	0
H6PD	0.260307534	1.0191881	0.670997436	0.223711687	0.327370867	0.403715766	0.098180605	0.480737366	0.652420803	0.191378881	0.102309253	0.061532336	0.197370347	0.170456944	0.993481183	0.020319882	0.176185904	0
SPSB1	0.215051343	1.83482906	2.120632417	1.151539154	1.606562571	2.104576805	0.792118086	2.475636497	2.461284143	0.073693879	0.136718461	0	0.041480861	0	0	0.713390842	0.135861186	0.064536312
SLC25A33	0.215051343	1.858324356	1.706414724	2.637123477	2.016833678	0.85307849	0.520829161	0.589732491	0.918293261	0.376995788	0.457393741	0.224765904	0.166551053	0.494432004	0.674172711	0.63524311	0.258513738	1.037974284
TMEM201	0	0.352344262	0.371547476	0.327336585	0.108564845	0.10256097	0	0.058265483	0.092841433	0.027227861	0.042348466	0	0.017269452	0	0.062720448	0	0.029276037	0.604829151
PIK3CD	0	0.14136028	0.252610797	0.120486976	0.080211234	0.245435533	0	0.295696735	0.506664783	0.316722252	0.108637062	0.280317677	0.202792994	0.645688824	0.114582225	0.098985833	0.363815183	0.182806671
CLSTN1	0.784999741	1.619340143	2.405294312	0.868106533	0.687160265	1.239356312	0.131148842	0.548060801	0.727473053	0.230048187	0.17462753	0.224680126	0.2038127	0.535013294	0.441243681	0.396929276	0.228553147	0.451790358
CTNNBIP1	1.720365064	3.347859566	2.691267589	2.612990625	1.004416643	1.797653379	0.880215152	0.981363385	1.632980766	1.044962865	0.553279127	1.04104596	0.535254951	1.520416823	0.421933643	0.69777913	1.213709155	1.249832011
LZIC	0.853005549	1.754340199	1.94659007	1.799045096	1.466638507	0.890603502	0.549277798	0.670825507	0.863670344	0.823324307	0.644829588	0.840095725	0.429408725	0.196130818	0.810279878	0.757518564	0.637731441	0.93994002
NMNAT1	0	0.381470052	0.221029303	0.174751267	0.152124413	0.228912998	0	0.225022512	0.456929496	0.178891799	0.030882607	0.25126963	0.072030184	0	0.243094829	0.0974856	0.142696449	0
RBP7	0	0.043726184	0.112412378	0.456239231	0.073071744	0.216887086	0	0.252021684	0.523814131	1.532580016	0.594453206	0.686391308	0.451483698	0	0	0.01054531	0	0
UBE4B	0	0.707903506	0.689356033	2.144331109	0.553951223	0.454162837	0.096757388	0.258985788	0.477122454	0.179929315	0.127979761	0.209863333	0.114888241	0	0.117453203	0.326477127	0.172405172	0
KIF1B	0	1.01727904	0.970154305	0.306236224	0.566092542	0.777959335	0	0.362553554	0.452099413	0.181466154	0.107793293	0.221699233	0.096273929	0	0	0.059582124	0.072235435	0
PGD	2.449773388	1.919786346	1.740903703	0.723401346	1.817847188	1.272516221	0.421822055	0.727087591	1.317491407	1.884184902	1.333163084	1.707333994	1.171347733	1.563954583	1.310365008	0.781155128	0.504025274	2.659728913
APITD1	1.168582286	1.405554797	1.013711219	1.220740138	0.765795772	1.164295813	0.391336371	0.56346991	1.296627522	0.127783877	0	0.36698771	0.041238728	0	0.388346024	0.574268806	0.39698556	1.486973913
DFFA	1.356689113	2.426979687	2.033269644	0.468388255	1.204023279	1.873756108	0.603504153	1.08546807	1.710416655	0.460246643	0.307486745	0.444038871	0.24401316	0.201283899	0.470298378	0.618831987	0.452122988	0.267591838
PEX14	0.339733658	0.516192144	0.554896646	0.281884396	0.687247576	0.508829196	0.090264202	0.333379463	0.616441044	0.18567736	0.032954943	0.082323074	0.074076332	0.148594466	0.273217523	0.300617066	0.176246315	1.021869454
TARDBP	0.556202676	1.725532121	1.70240407	1.110663936	1.740812296	1.675243175	0.595357701	0.84878777	1.730799866	0.748824492	0.33762178	0.504619262	0.317422465	0.276695388	0.427503465	0.652249875	0.598221969	1.207647471
SRM	3.716690373	4.284421823	2.937171879	1.645597895	2.746302178	4.233379911	3.457429706	2.984044257	4.11998472	1.530335122	1.364158234	1.397640952	0.550440467	1.002722862	0.343220838	5.675643848	1.298914743	3.525360545
EXOSC10	0	0.970472401	1.019873588	0.478269829	1.039918611	0.784493624	0.309713501	0.485540863	0.842024245	0.325464842	0.180219916	0.41716954	0.13008906	0.191257793	0.05846164	0.385589298	0.397904211	0.631117199
MTOR	0.215051343	0.952834762	0.550332682	0.112145532	0.29817853	0.275464182	0	0.133595132	0.188902194	0.075875466	0	0.170865668	0.056691575	0.441687471	0	0.163209066	0.127795114	0.414954787
UBIAD1	0	0.980437111	0.817613538	0.493072663	0.856068576	0.816971664	0.287397931	0.414358396	0.703145297	0.207814611	0.113688538	0.202258674	0.070785963	0	0.326369173	0.560393776	0.28047457	0.393557446
FBXO2	2.126342736	2.800120222	0.866244213	0.26256432	4.074302552	2.530752684	1.81669919	0.437241383	0.513401507	0.014597218	0.069801496	0	0.006714477	0	0.107747648	0.158956097	0.144775877	0.291606689
FBXO44	0.208082893	0.729950049	0.387772376	0.143555194	0.770992394	0.498168651	0.265679545	0.198324643	0.233304706	0.082357728	0	0.049258201	0.062775854	0	0.303628411	0.272949601	0.264522172	0
FBXO6	0.938631486	1.432982548	0.554192054	0.420548904	0.673430466	0.692522441	0.353416274	0.228370246	0.46365437	0.581445978	0.349010889	0.773658363	0.252903442	1.276456106	0.736278447	0.548944309	0.67029443	0.398182899
MAD2L2	1.874278985	2.461609847	1.92826105	1.648783625	2.119319956	2.328126102	1.265134363	1.288790167	1.673700774	0.95287834	0.522954539	1.023757728	0.565075746	1.384090459	0.738166848	1.775514328	1.775249691	2.201920426
AGTRAP	1.476935603	3.87560255	3.544181756	1.415412881	1.785436248	2.978891436	1.128802902	1.984251596	2.323211513	1.135651397	0.992913293	1.804717323	1.168393337	0.393194599	0.227705991	0.721666002	1.334845064	1.381238283
C1orf167	0.290650589	0.765090424	0.842133911	0.153500483	0.29947982	0.114743784	0.327086025	0.296289136	0.309863648	0.006628625	0.069974501	0	0.002757141	0	0	0.08899923	0	0.100201476
MTHFR	0	0.807335863	0.707159663	0.193085663	0.58493637	0.297169584	0.052104862	0.260779627	0.38697703	0.241232493	0.197232861	0.201666517	0.20669268	0	0.057422565	0.13469727	0.095243413	0.383461869
CLCN6	0	0.31542705	0.387645095	0.027508182	0.22161781	0.257265729	0	0.101266222	0.244674165	0.149900737	0.14665403	0.137947633	0.094375517	0.161583327	0.180261573	0.061780309	0.060293961	0.236833505
NPPB	0	0	0.012928226	0.058195065	0.117532621	0.234873619	0.2221864	0.098600954	0.23048758	0.006936798	0	0	0.002745102	0	0	0	0	0
KIAA2013	0.31038225	1.172551468	1.055108429	0.276506282	0.480298871	0.465914708	0.147810891	0.384593052	0.415443691	0.328474271	0.442094606	0.291732003	0.248032523	0.344589748	0.106094631	0.348393043	0.159597174	0.537405966
PLOD1	0.401103003	0.521192129	0.724393897	0.212217182	0.365047001	1.697515446	0.705220826	1.14968064	1.270978594	0.416175391	0.273963567	0.348753144	0.351324024	0	0.054916726	0.372712958	0.040586446	0.140733305
MFN2	0	0.979649471	1.24453515	0.312406652	0.609148958	0.592473664	0.685896124	0.273983006	0.459439717	0.149973718	0.064650643	0.323449886	0.120352981	0	0	0.1434228	0.173638419	0.417217546
MIIP	0.283685562	1.713300624	1.25372298	1.021953463	1.562915614	1.439681615	0.526517697	1.182389728	1.750347343	1.198564539	0.802828047	0.798546739	0.52660331	0.817343851	0.926800375	0.564699705	0.398038651	1.76610454
TNFRSF8	0	0.017224541	0.008035745	0	0.012489726	0.166816092	0.090046151	0.589534744	0.69357886	0.131806235	0.134367315	0.086336757	0.092150823	0	0.055798566	0.011239457	0	0
TNFRSF1B	0	0.289330803	0.125504217	0.082496149	0.067734732	0.065270215	0	0.087919469	0.295887688	1.310924117	0.517096235	0.806848626	0.946286414	0.524974323	1.313471554	0.073840947	0.43041656	0.099012204
VPS13D	0	0.650567912	1.063495133	0.138320078	0.6352936	0.407849716	0	0.263503404	0.431602374	0.149059112	0.173899374	0.224281868	0.0909819	0.161583327	0	0.048643783	0.027385887	0
DHRS3	0.459434142	1.921352731	3.118603334	1.077462152	1.021377404	1.322979237	0.44211654	0.968547231	1.114275117	1.10711595	0.68341584	0.972031721	1.031385575	0.148594466	0.304848898	0.049023298	0.188801428	0.404806805
PDPN	0	0.064463645	0.527735	0.347338588	0.961732649	3.755029351	1.816300863	4.9014299	4.931116216	0.272335269	0.224505263	0.056475363	0.08784619	0	0	0.012167449	0	0.140733305
PRDM2	0.290650589	0.856848586	0.598394097	0.310003455	0.444074642	0.361080463	0.0965281	0.278461646	0.419012235	0.266457118	0.309821706	0.302778077	0.411792682	0.591142286	0.871001605	0.249730863	0.274800317	0
KAZN	0	0.806361676	2.503537619	0.225941042	0.510228293	0.144449738	0	0.241154594	0.367916854	0.011958546	0.032315584	0	0.001276668	0	0	0	0	0.107779633
TMEM51	0.276325769	1.072242519	0.600193375	0.314234167	0.344976603	0.366725837	0.387277026	0.44957444	0.698109049	0.634356421	0.290616093	0.452992903	0.567210904	0.510491358	0.182121685	0.045881772	0	0
FHAD1	0	0.062504205	0.056956747	0.025098776	0.103520527	0.109001123	0	0.003673893	0.009172415	0.09657979	0	0	0.057926254	0.201283899	0	0	0	0
EFHD2	1.859660229	4.539545291	1.747913969	0.961554195	0.896778162	1.161126611	0.546118398	0.616389048	0.978226532	1.645697483	1.638105642	2.604097845	1.78497871	2.050106663	2.130293707	0.905827198	1.699824414	0.346471503
CASP9	0.25135125	0.648757435	0.428374576	0.483532031	0.556949004	0.529385992	0.107682124	0.223237707	0.380824369	0.198819588	0.066870706	0.16685545	0.084126218	0.584777264	0.118929366	0.232726901	0.068701725	0.660166939
DNAJC16	0	0.268161714	0.458240453	0.021740749	0.165940352	0.125219532	0	0.071486426	0.253574516	0.065693614	0.122571722	0.027224851	0.025696493	0.167090997	0	0.030481018	0.022514631	0
AGMAT	0	0.237505892	0.048115627	0.045566293	0.134162204	0.17678845	0	0.050728859	0.117673638	0.037117458	0	0.063488256	0.022580877	0	0	0.23713779	0.098423295	0.23128827
DDI2	0	0.719602291	0.81412208	0.141105771	0.157635006	0.131087179	0	0.15167922	0.264116993	0.088874751	0.061156103	0.087863701	0.105146809	0	0.055767254	0.104256063	0.081752809	0.606870093
PLEKHM2	0	1.344482837	1.003102998	0.281384779	0.242950424	0.609322354	0	0.347828369	0.532290731	0.506709766	0.485298358	0.508579839	0.531828025	0.148594466	0.293637546	0.165856378	0.026571409	0
FBLIM1	0	0.990501903	1.077073206	0.045372637	0.707404944	1.688441155	1.020963951	1.089976775	2.221006771	0.077855879	0	0.027783978	0.025008705	0	0	0.043873225	0	0.149216361
RP11-169K16.9	0	0.652639371	0.878727475	0.242731086	0.518562556	0.380148257	0.096757388	0.22783452	0.36328503	0.15926972	0.033488127	0.216483651	0.055274258	0.203469221	0.199517507	0.24770447	0.335844018	0.50010501
SPEN	0	0.744312115	0.868140534	0.226842538	0.377037688	0.572972325	0.228866644	0.300169893	0.360648821	0.184162712	0.156515742	0.207303665	0.094946168	0	0.132839544	0.29814455	0.152040833	0.419291214
ZBTB17	0	0.561297002	0.398719045	0.1247234	0.622447625	0.335290008	0.259025389	0.366835763	0.515992838	0.161771036	0.059091405	0.020713225	0.081724633	0.189066936	0.256449701	0.181173057	0.19012418	0.275072079
HSPB7	0	0	0	0.030118783	0.251352931	1.317229174	1.907657647	1.697312978	2.126701849	0.028512047	0.034063133	0	0.01448826	0	0	0	0	0
